age,edu,gender,housing,income,job_occupation,past_bad_credit,married,loan_amount,debt_to_income,credit_history_years,default_label
25,high_school,male,mortgage,38529.33,self_employed,0,0,9178.73,0.73,10.4,0
59,bachelor,male,rent,,salary_worker,0,0,5594.13,0.26,6.4,0
53,phd,female,rent,12746.85,salary_worker,0,0,3480.77,0.45,2.5,0
42,master,female,mortgage,39871.71,retired,0,0,8020.42,0.43,4.0,0
42,high_school,male,own,36575.92,public_sector,0,0,5432.12,0.04,12.6,0
63,high_school,male,rent,25893.88,public_sector,0,1,8236.29,0.6,9.5,0
25,,male,mortgage,20604.34,self_employed,0,0,6428.29,0.45,8.1,0
55,master,male,own,12597.14,salary_worker,0,0,5460.73,0.37,5.2,0
31,bachelor,male,mortgage,35966.03,,0,0,6991.95,0.53,14.4,0
25,bachelor,male,mortgage,41512.95,self_employed,0,0,7782.37,0.33,4.0,0
47,bachelor,male,rent,17933.19,,0,0,11875.77,0.5,8.1,0
69,high_school,male,rent,17271.8,salary_worker,0,1,10226.67,0.01,9.5,0
57,high_school,female,rent,42551.82,salary_worker,0,1,25640.61,0.49,2.3,0
59,high_school,male,mortgage,18236.15,salary_worker,0,1,8758.59,0.37,4.5,0
56,high_school,male,own,54207.64,salary_worker,0,0,5596.45,0.38,5.7,0
60,master,male,mortgage,23177.26,salary_worker,0,1,7394.84,,10.9,0
46,high_school,male,own,20456.32,salary_worker,0,1,11076.46,0.3,5.7,0
27,high_school,male,rent,24842.19,self_employed,0,0,14071.18,0.3,1.8,0
62,bachelor,female,rent,20455.68,salary_worker,0,0,16946.36,0.13,1.4,0
43,high_school,female,rent,40408.51,salary_worker,0,1,4631.55,0.4,4.4,0
46,high_school,female,own,36265.22,self_employed,0,1,16389.08,0.62,1.5,0
39,bachelor,female,own,39721.5,public_sector,0,0,7900.56,0.08,,0
30,high_school,female,mortgage,26450.59,salary_worker,0,0,4866.73,0.43,10.7,0
67,bachelor,female,rent,19823.84,,1,1,7243.95,0.26,7.5,0
60,master,female,mortgage,24243.92,self_employed,0,1,15770.8,0.24,6.4,0
53,high_school,female,rent,20099.22,salary_worker,1,0,10420.2,0.35,10.5,0
41,master,male,mortgage,47097.18,salary_worker,0,1,4160.44,0.36,10.3,0
62,master,male,rent,38216.52,salary_worker,0,1,4177.64,0.37,3.6,0
48,master,female,mortgage,23360.8,salary_worker,0,0,4114.36,0.14,4.1,0
43,bachelor,female,rent,,public_sector,1,1,5418.93,0.54,10.3,0
43,bachelor,female,rent,48697.25,retired,0,0,8455.71,0.35,8.6,0
32,bachelor,female,own,,,0,1,4361.63,0.45,9.9,0
25,bachelor,female,own,22958.07,salary_worker,0,0,6402.35,0.56,3.9,0
48,high_school,female,own,48890.76,student,1,0,17520.37,0.01,4.5,0
65,phd,female,rent,19351.46,self_employed,0,1,19728.01,0.45,9.4,0
24,bachelor,male,mortgage,21088.49,student,0,1,19010.76,,4.8,0
63,master,male,rent,21942.01,public_sector,0,1,3019.37,0.52,1.4,0
62,,male,own,13460.89,salary_worker,0,0,20344.12,0.2,4.8,0
